"","ein","tax_pd","equity_ratio"
"587",141819599,201806,-0.658743595347134
"588",141828476,201812,0.784378772476344
"589",141855665,201812,0.0525868793664217
"590",141869951,201806,0.676959207365282
"591",141884382,201812,0.141002023908718
"592",141891112,201812,0.114818353905826
"593",141891112,201712,0.175348750300412
"594",141959607,201812,0.821783480415092
"595",141959607,201712,0.797768357710098
"596",141973678,201812,0.909664919340943
"597",141977260,201812,-0.132059654838363
"598",141983932,201806,0.00917531683148046
"599",141987692,201809,0.971649676001121
"600",141990608,201812,-0.118663865806108
"601",160743940,201903,0.0990729619378635
"602",160863402,201803,0.509215115348926
"603",160902835,201809,-0.153570262810462
"604",160903802,201812,0.934126493126382
"605",160905222,201810,0.424473583344116
"606",160907793,201812,0.52029754628999
"607",160909190,201812,0.406870364813876
"608",160909583,201812,0.687754332863662
"609",160911473,201802,0.328056639599167
"610",160950820,201906,-0.124993928178347
"611",160963924,201806,0.840915535750456
"612",160984913,201809,0.65740343281953
"613",160999976,201904,0.917774106907461
"614",161002392,201809,0.94061091959051
"615",161004653,201812,0.789133593121061
"616",161006727,201812,0.329883209022399
"617",161063363,201812,0.598715456881375
"618",161065303,201808,0.763964480526178
"619",161067572,201712,0.43402845915465
"620",161067572,201812,0.326437646517392
"621",161072548,201812,-0.61745139583193
"622",161079046,201812,-0.0255883927888416
"623",161080227,201812,0.559444471488773
"624",161086304,201812,0.561768438163002
"625",161092291,201808,0.73402573408801
"626",161094813,201809,0.739309355244812
"627",161109094,201906,0.703460189907046
"628",161116852,201906,0.832899923060722
"629",161119263,201812,0.889301518952143
"630",161125586,201811,0.8296182765489
"631",161130177,201806,-2.85586916517637
"632",161132971,201808,0.870954894258717
"633",161137874,201906,0.84096071181399
"634",161139614,201812,0.419339757656712
"635",161159574,201906,0.51111613715593
"636",161159720,201812,0.284111761041881
"637",161160170,201809,-0.300689863590417
"638",161160170,201909,0.0209641883181914
"639",161163460,201812,0.985895965384054
"640",161164184,201806,0.53527406960701
"641",161165911,201812,0.971441325418041
"642",161166659,201808,0.734282091162888
"643",161167946,201812,0.939192106965039
"644",161169252,201808,0.495079366005332
"645",161170113,201806,0.861407348993314
"646",161170113,201906,0.848865877531605
"647",161183242,201809,0.575430522359659
"648",161190886,201806,0.350894323663688
