"","ein","tax_pd","st_debt_ratio"
"687",161671788,201906,0.0132795435877413
"688",161744136,201809,0
"689",161765276,201812,0.269143432519704
"690",166063879,201902,0.228900836162153
"691",166063879,201802,0.278374674756518
"692",166066346,201903,0.292564370282666
"693",166066837,201812,0.148173752495844
"694",166095039,201901,0.535973136919713
"695",166101149,201906,0.135294369109412
"696",200001916,201812,0.0199345122096186
"697",200062075,201806,0.028528347003908
"698",200070040,201812,0.00291165599501759
"699",200125143,201812,0.49000039602392
"700",200146547,201806,0.367462680944837
"701",200164382,201812,-0.0335369518418551
"702",200177581,201806,0.00260376601692718
"703",200203845,201812,0.323497332630938
"704",200246423,201812,0.169951511009571
"705",200310400,201806,0.0615426444338883
"706",200318338,201812,-0.254577770429463
"707",200330858,201812,0.0156049483475692
"708",200428240,201812,-0.272263035727105
"709",200436490,201809,0.0688766212070589
"710",200446324,201812,0.869881683694766
"711",200458814,201812,0.0597405574983287
"712",200468802,201812,0
"713",200470082,201812,0.00504817163783569
"714",200503404,201812,-0.53727954740531
"715",200530683,201812,0.212846197281379
"716",200553370,201812,0.0105381709436172
"717",200573561,201812,0.0054356649451237
"718",200688727,201812,9.16270777552865
"719",200696964,201806,0.132951316665987
"720",200701353,201806,0.146715847005349
"721",200726638,201806,0
"722",200951085,201809,0.00601007972113998
"723",200956663,201812,-0.160204208117013
"724",201044089,201806,0.00566005797592095
"725",201110283,201806,0
"726",201150352,201712,0
"727",201150352,201812,0
"728",201249814,201812,0.0582753806058581
"729",201309418,201809,0.073888912997239
"730",201309418,201609,0.0073979327869944
"731",201324945,201712,0.00737722177308202
"732",201413891,201812,0.0432682251990457
"733",201484525,201903,0.0320719235563652
"734",201545635,201812,0
"735",201583332,201812,0.0100076870143986
"736",201592192,201812,0.0282230181958635
"737",201594213,201806,-0.119357981166211
"738",201683627,201806,NA
"739",201688621,201806,0
"740",201700622,201812,0.000883827928962555
"741",201788094,201812,0
"742",201793571,201812,0.0841089465602712
"743",201794339,201812,0.678128089640778
"744",201848987,201812,0.033770406066719
"745",201880465,201906,0
"746",201891448,201812,0.445890013886455
"747",201935580,201806,0.0416520613247572
"748",201952464,201906,0.00420574476730254
"749",201989307,201906,0.0188036184735519
"750",202007127,201812,-0.0532805683908051
"751",202010603,201812,0.00378180329322136
"752",202053859,201812,0.00371454129205391
"753",202074645,201809,-0.0155403799732343
"754",202188815,201903,0.00844647554820076
"755",202207776,201812,0.001052533861079
"756",202231228,201806,0.170678438335591
"757",202232456,201812,-0.025171440786661
